,#,# Coins,# Pairs,Country,Established,Last 7 Days,Twitter Followers,Alexa Rank,Exchange_name,Centralised_Decentralised,24h Volume_amt,Trading_incentive,Most Actively Traded_currency,value_in_dollars
5,6,150.0,463.0,Malta,2017.0,,952594.0,#1003,Binance,Centralized,"$1,422,066,858",,BTC/USDT,"345,959,692"
6,7,37.0,111.0,Australia,2017.0,,,#11623,BW.com,Centralized,"$1,285,586,022",,BTC/USDT,"581,175,158"
11,12,27.0,70.0,Australia,2018.0,,1034.0,-,BTCEXA,Centralized,"$988,784,141",,BTC/USDT,"305,170,247"
13,14,163.0,208.0,Singapore,2017.0,,11483.0,#47015,CoinBene,Centralized,"$947,394,332", Trading Incentives,BTC/USDT,"563,159,529"
20,21,80.0,146.0,Singapore,2017.0,,21869.0,#38491,CoinTiger,Centralized,"$825,812,470",,BTC/USDT,"214,258,133"
22,23,70.0,114.0,Hong Kong,2014.0,,,#146439,CoinAll,Centralized,"$817,198,453",,BTC/USDT,"395,956,663"
23,24,364.0,859.0,Hong Kong,2013.0,,239282.0,#9580,HitBTC,Centralized,"$776,044,743",,BTC/USD,"102,645,335"
25,26,42.0,56.0,Malta,2017.0,,,#302869,TopBTC,Centralized,"$678,100,274",,BTC/QQC,"225,998,862"
26,27,104.0,349.0,Estonia,2018.0,,32298.0,#83220,P2PB2B,Centralized,"$570,424,712",,LTC/BTC,"63,265,821"
30,31,35.0,40.0,Singapore,,,8509.0,#265401,OOOBTC,Centralized,"$505,100,570",,BTC/USDT,"215,820,154"
31,32,82.0,83.0,South Korea,2013.0,,201306.0,#12910,Bithumb,Centralized,"$500,212,746",,DASH/KRW,"227,652,179"
33,34,12.0,19.0,Singapore,2017.0,,7776.0,#857781,KKCoin,Centralized,"$411,423,820",,BTC/USDT,"205,035,097"
34,35,35.0,62.0,Singapore,2017.0,,699.0,#361674,BITKER,Centralized,"$403,723,499",,BTC/USDT,"135,032,174"
35,36,53.0,129.0,Singapore,2018.0,,142.0,#146975,Biki,Centralized,"$399,813,421",,BTC/USDT,"92,901,196"
36,37,20.0,32.0,Hong Kong,2017.0,,211.0,#665847,FEX,Centralized,"$371,530,399",,BTC/USDT,"232,979,610"
37,38,11.0,21.0,Singapore,,,165.0,#761966,UniDAX,Centralized,"$359,695,574",,BTC/USDT,"194,869,415"
39,40,40.0,94.0,Hong Kong,2017.0,,2001.0,#402356,IDCM,Centralized,"$348,182,849",,BTC/USDT,"63,207,846"
40,41,24.0,64.0,Hong Kong,2017.0,,115.0,#1075751,Hb.top,Centralized,"$336,583,728",,BTC/USDT,"135,240,887"
41,42,21.0,45.0,Hong Kong,2018.0,,5852.0,#71920,Hubi,Centralized,"$316,163,846",,NA,NA
42,43,205.0,335.0,South Korea,2017.0,,,#10234,Upbit,Centralized,"$299,216,993",,BTC/KRW,"64,300,172"
43,44,22.0,61.0,Singapore,2018.0,,,#1558036,6x,Centralized,"$298,969,185",,BCB/USDX,"39,009,570"
44,45,48.0,92.0,Hong Kong,2017.0,,1551.0,#72106,CHAOEX,Centralized,"$284,389,866",,BTC/USDT,"97,614,831"
45,46,60.0,135.0,Japan,2014.0,,176.0,#29665,Liquid(Quoine),Centralized,"$274,673,516",,BTC/JPY,"246,047,391"
49,50,19.0,44.0,United States,2012.0,,173648.0,#1465,CoinbasePro,Centralized,"$233,785,717",,BTC/USD,"118,982,762"
50,51,25.0,95.0,United Kingdom,2017.0,,338259.0,#125608,LocalTrade,Centralized,"$224,203,642",,EDC/DASH,0.00000000
51,52,10.0,24.0,United States,2015.0,,2104.0,#297444,Simex,Centralized,"$222,176,874",,BTC/USD,"148,017,698"
52,53,14.0,52.0,Singapore,2018.0,,,-,Bione,Centralized,"$217,117,905",,ETH/BTC,"7,276,151"
53,54,21.0,78.0,United States,2011.0,,358458.0,#12611,Kraken,Centralized,"$216,455,436",,XBT/USD,"74,391,763"
54,55,76.0,113.0,United Kingdom,2017.0,,4661.0,#62191,CoinEgg,Centralized,"$196,198,408",,LTC/BTC,"112,606,918"
57,58,34.0,51.0,Hong Kong,2017.0,,3326.0,#4652717,FUBT,Centralized,"$173,508,488",,BTC/USDT,"95,237,575"
60,61,85.0,97.0,Switzerland,2018.0,,1751.0,#22041,Dcoin,Centralized,"$143,011,163",,BTC/USDT,"23,547,681"
61,62,5.0,14.0,United Kingdom,2013.0,,339280.0,#18218,Bitstamp,Centralized,"$135,541,210",,BTC/USD,"79,222,618"
63,64,113.0,155.0,Hong Kong,2018.0,,15844.0,#102174,FinexBox,Centralized,"$128,511,154",,ETH/BTC,"59,586,390"
64,65,40.0,59.0,South Korea,2018.0,,677.0,#64614,Coinzest,Centralized,"$116,721,469",,USDT/COZP,"112,838,188"
66,67,10.0,29.0,Hong Kong,2017.0,,,#598806,Tidebit,Centralized,"$111,419,853",,BTC/USD,"110,962,032"
68,69,36.0,63.0,Hong Kong,2017.0,,347.0,#234463,Purcow,Centralized,"$105,132,926",,BTC/USDT,"59,220,465"
71,72,10.0,30.0,Estonia,,,18561.0,#2166243,Coinsbit,Centralized,"$94,484,163",,BTC/USD,"27,931,539"
72,73,254.0,355.0,United States,2014.0,,759572.0,#6274,Bittrex,Centralized,"$67,969,167",,BTC/USD,"7,487,190"
73,74,74.0,127.0,Hong Kong,2017.0,,14814.0,#149479,Coinsuper,Centralized,"$67,299,063", Trading Incentives,ETH/USD,"11,846,839"
74,75,20.0,45.0,Singapore,2018.0,,2090.0,#399657,Kryptono,Centralized,"$64,071,816",,BTC/USDT,"29,497,059"
75,76,82.0,174.0,Singapore,2018.0,,22726.0,#98208,ABCC,Centralized,"$62,974,121", Trading Incentives,BTC/USDT,"7,342,068"
76,77,37.0,56.0,Australia,,,1785.0,#72369,BitRabbit,Centralized,"$56,363,457",,BTC/USDT,"16,163,549"
78,79,3.0,3.0,Japan,2014.0,,92586.0,#38356,bitFlyer,Centralized,"$51,160,733",,BTC/JPY,"50,669,084"
79,80,30.0,39.0,South Korea,2018.0,,,#36500,Coinbit,Centralized,"$50,118,672",,TUSD/KRW,"17,388,667"
80,81,53.0,173.0,United Kingdom,2017.0,,15920.0,#85056,CoinEx,Centralized,"$42,504,252", Trading Incentives,BTC/USDT,"4,061,276"
81,82,4.0,4.0,Japan,2018.0,,10358.0,#178223,BTCBox,Centralized,"$39,090,995",,LTC/JPY,"9,808,484"
82,83,63.0,124.0,United States,2014.0,,215825.0,#8936,Poloniex,Centralized,"$39,062,091",,BTC/USDT,"8,269,016"
83,84,58.0,166.0,Singapore,2018.0,,6559.0,#245106,Bitrue,Centralized,"$37,334,074",,BCH/XRP,"5,733,968"
84,85,5.0,15.0,United States,2014.0,,123.0,#33978,Gemini,Centralized,"$32,936,531",,BTC/USD,"23,975,964"
86,87,28.0,68.0,Singapore,2018.0,,2695.0,#237358,Tokenize,Centralized,"$30,482,547",,BTC/USD,"1,552,833"
87,88,9.0,17.0,Hong Kong,2018.0,,117.0,#11628301,Bitinfi,Centralized,"$29,214,657",,BTC/USDT,"20,130,811"
88,89,30.0,33.0,South Korea,2016.0,,39.0,#43210,Coinone,Centralized,"$28,814,823",,BTC/KRW,"8,086,412"
89,90,6.0,8.0,Japan,2016.0,,24949.0,#14481,Bitbank,Centralized,"$27,989,122",,XRP/JPY,"13,184,658"
90,91,187.0,411.0,Hong Kong,2014.0,,329058.0,#9285,KuCoin,Centralized,"$27,493,339",,BTC/USDT,"2,670,266"
91,92,40.0,144.0,United Kingdom,2013.0,,13143.0,#36063,EXMO,Centralized,"$26,365,297",,BTC/USD,"5,352,016"
92,93,1.0,1.0,Japan,2014.0,,101306.0,#29495,Coincheck,Centralized,"$26,271,786",,BTC/JPY,"26,271,786"
94,95,10.0,25.0,Singapore,,,972.0,#1223432,Coinhub,Centralized,"$23,354,574",,BTC/USD,"8,809,733"
96,97,5.0,12.0,United Kingdom,2018.0,,505.0,#3583732,ExtStock,Centralized,"$21,922,425",,BTC/USD,"4,023,250"
99,100,20.0,20.0,South Korea,2013.0,,2811.0,#77839,Korbit,Centralized,"$16,986,245",,BTC/KRW,"7,044,026"
100,101,23.0,35.0,Hong Kong,2018.0,,83.0,#2203387,HPX,Centralized,"$16,480,170",,BTC/CNYT,"11,385,209"
101,102,26.0,92.0,Poland,2014.0,,35.0,#53909,BitBay,Centralized,"$14,916,965",,BTC/PLN,"12,799,091"
103,104,2.0,6.0,United States,2013.0,,7779.0,#222658,itBit,Centralized,"$13,613,131",,XBT/USD,"11,368,699"
104,105,263.0,597.0,Singapore,2017.0,,24843.0,#121793,BiteBTC,Centralized,"$13,364,120",,VULC/DASH,0.00000000
107,108,11.0,30.0,Japan,2015.0,,59101.0,#17658,Zaif,Centralized,"$12,176,828",,BTC/JPY,"9,294,777"
108,109,29.0,59.0,South Korea,2018.0,,,-,Citex,Centralized,"$10,609,648",,BTC/USDT,"3,622,004"
109,110,35.0,47.0,Malta,2018.0,,4554.0,#20542,Coindeal,Centralized,"$10,495,321",,BTC/USD,"3,334,718"
112,113,40.0,58.0,South Korea,2016.0,,1080.0,#127208,GoPax,Centralized,"$9,284,827",,BTC/KRW,"3,630,196"
113,114,36.0,73.0,United Kingdom,2018.0,,1381.0,#274699,InstantBitex,Centralized,"$9,162,012",,ETH/BTC,"1,579,817"
114,115,14.0,16.0,Japan,2017.0,,,#1287613,Neraex,Centralized,"$8,663,976",,BTC/EUSD,0.00000000
117,118,25.0,30.0,South Korea,2018.0,,,-,GDAC,Centralized,"$7,856,370",,ATOM/KRW,"3,586,063"
118,119,9.0,27.0,Singapore,2018.0,,1029.0,#1065446,Cryptology,Centralized,"$7,535,144",,ETH/BTC,"1,874,106"
128,129,12.0,16.0,Singapore,2018.0,,54.0,#1110966,Bitholic,Centralized,"$5,570,066",,ETH/BTC,"1,881,275"
134,135,75.0,198.0,Singapore,2017.0,,17155.0,#181004,COSS,Centralized,"$4,519,024",,XRP/BTC,"526,361"
135,136,20.0,29.0,Estonia,2018.0,,3053.0,#625013,CODEX,Centralized,"$4,472,950",,BTC/USDT,"909,888"
136,137,2.0,6.0,Singapore,2013.0,,18670.0,#53190,Luno,Centralized,"$4,448,695",,XBT/NGN,0.00000000
138,139,12.0,38.0,United Kingdom,2013.0,,28113.0,#27820,CEX.IO,Centralized,"$4,271,138",,BTC/USD,"2,301,535"
140,141,12.0,23.0,Australia,,,16692.0,#60934,BTCMarkets,Centralized,"$3,430,641",,BTC/AUD,"2,463,518"
142,143,93.0,345.0,United Kingdom,2017.0,,6687.0,#103279,Tidex,Centralized,"$3,067,118",,WAVES/BTC,"1,771,225"
145,146,34.0,38.0,South Korea,2013.0,,235.0,#237444,CPDax,Centralized,"$2,880,704",,BTC/KRW,"761,485"
147,148,8.0,30.0,Australia,2013.0,,,-,IndependentReserve,Centralized,"$2,579,523",,NA,NA
148,149,24.0,94.0,Ireland,2016.0,,3714.0,#337746,Bitsane,Centralized,"$2,468,510",,BTC/EUR,"548,267"
149,150,8.0,37.0,United Kingdom,2018.0,,1181.0,#280158,DSX,Centralized,"$2,369,129",,BTC/USD,"1,054,078"
151,152,11.0,12.0,South Korea,2018.0,,,#320143,Daybit,Centralized,"$2,164,696",,HUNT_ERC20...,"1,910,971"
154,155,6.0,17.0,Estonia,2018.0,,18.0,#1890678,IncoreX,Centralized,"$1,900,120",,BTC/EUR,"428,063"
158,159,29.0,53.0,Switzerland,2018.0,,4861.0,#458995,IQFinex,Centralized,"$1,762,788",,BTC/USDT,"564,119"
159,160,22.0,73.0,Singapore,2018.0,,794.0,#1064576,FinanceX,Centralized,"$1,547,278",,BTC/VND,"604,874"
161,162,11.0,42.0,Singapore,2016.0,,987.0,#1602782,Bithash,Centralized,"$1,449,452",,USDT/USD,"713,670"
162,163,12.0,16.0,Australia,2016.0,,,#952236,ACX,Centralized,"$1,366,485",,BTC/AUD,"1,234,792"
164,165,16.0,51.0,Singapore,2018.0,,78705.0,#1490489,AlterDice,Centralized,"$1,315,462",,ETH/USD,"782,231"
166,167,491.0,762.0,Cyprus,2017.0,,13969.0,#19207,CREX24,Centralized,"$1,266,326",,ESBC/BTC,"164,874"
167,168,25.0,34.0,Singapore,2018.0,,7755.0,#418927,Tokenomy,Centralized,"$1,259,304",,HNST/BTC,"141,565"
168,169,45.0,106.0,Hong Kong,2018.0,,20394.0,#158021,Trade.io,Centralized,"$1,200,988",,BTC/USDT,"173,726"
169,170,5.0,9.0,Australia,2018.0,,10928.0,#172431,CoinJarExchange,Centralized,"$954,467",,BTC/AUD,"833,452"
173,174,22.0,57.0,United States,2019.0,,583.0,#1468691,HuobiUS(HBUS),Centralized,"$851,082",,XRP/BTC,"333,750"
179,180,58.0,59.0,Netherlands,2013.0,,13994.0,#92074,LiteBit,Centralized,"$744,337",,BTC/EUR,"443,710"
181,182,1.0,2.0,United Kingdom,2018.0,,878.0,#678462,Gobaba,Centralized,"$703,193",,BTC/TRY,"703,035"
182,183,40.0,71.0,Poland,,,402.0,#536380,Coinbe,Centralized,"$669,527",,KBC/BTC,"322,232"
185,186,16.0,28.0,Czech Republic,2018.0,,8104.0,#3272536,Worldcore,Centralized,"$631,889",,DASH/BTC,"108,122"
188,189,48.0,67.0,Switzerland,2017.0,,1575.0,#297013,Chaince,Centralized,"$504,073",,EOS/USDT,"461,923"
192,193,425.0,789.0,Australia,,,,#18420,Coinexchange,Centralized,"$427,314",,MINEX/BTC,"58,711"
196,197,18.0,24.0,United Kingdom,,,1848.0,#157272,KunaExchange,Centralized,"$356,828",,BTC/UAH,"211,915"
198,199,18.0,28.0,United Kingdom,2017.0,,2162.0,#223614,Coinfalcon,Centralized,"$325,585",,BTC/EUR,"192,853"
200,201,28.0,95.0,Switzerland,2017.0,,6386.0,#444508,Lykke,Centralized,"$288,234",,BTC/USD,"86,411"
207,208,162.0,685.0,United Kingdom,2018.0,,23299.0,#41757,TradeSatoshi,Centralized,"$156,357",,ATCC/BTC,"51,010"
212,213,207.0,401.0,Malta,2017.0,,4073.0,#34908,Graviex,Centralized,"$133,965",,BTSC/BTC,"38,773"
216,217,1.0,1.0,Netherlands,2014.0,,5695.0,#596620,Bitex.la,Centralized,"$125,381",,BTC/USD,"125,381"
229,230,3.0,5.0,Singapore,2014.0,,255.0,#1872579,CRXzone,Centralized,"$52,059",,BTC/USD,"25,984"
230,231,4.0,12.0,Estonia,,,9457.0,#37578,Coinsbank,Centralized,"$47,954",,BTC/GBP,"40,484"
231,232,6.0,9.0,Estonia,2018.0,,3896.0,-,Coinmetro,Centralized,"$47,851",,BTC/EUR,"30,444"
233,234,3.0,4.0,Japan,2016.0,,3372.0,#411645,Fisco,Centralized,"$42,113",,BTC/JPY,"41,490"
234,235,9.0,14.0,Singapore,2018.0,,433.0,#487389,Vinex,Centralized,"$40,215",,VEIL/BTC,"31,272"
236,237,1.0,5.0,United Kingdom,2014.0,,461.0,#1095963,Bitlish,Centralized,"$31,943",,BTC/RUB,"31,424"
238,239,31.0,46.0,Singapore,2018.0,,4393.0,#231244,BITBOX,Centralized,"$29,576",,LN/BTC,"23,455"
240,241,229.0,645.0,Hong Kong,,,2487.0,#188392,Altilly,Centralized,"$26,815",,MMO/BTC,"6,986.23"
243,244,7.0,16.0,Hong Kong,2018.0,,366.0,#558570,Tideal,Centralized,"$17,035.42",,LIKE/ETH,"12,866.78"
247,248,10.0,10.0,United States,,,1602.0,#434626,qTrade,Centralized,"$12,462.27",,BIS/BTC,"8,057.18"
249,250,7.0,9.0,United States,,,505.0,#388436,Chainrift,Centralized,"$12,162.13",,TLOS/EOS,"4,177.13"
250,251,21.0,28.0,Netherlands,2019.0,,1868.0,#228091,Txbit,Centralized,"$11,055.69",,NOLLAR/BTC,"4,683.16"
254,255,18.0,21.0,Estonia,2019.0,,123.0,#249331,Dflow,Centralized,"$6,054.05",,TUSD/USDT,"1,485.67"
255,256,29.0,32.0,Norway,2016.0,,1996.0,#291070,Freiexchange,Centralized,"$4,446.57",,AXE/BTC,"3,866.07"
260,261,2.0,2.0,Croatia,2013.0,,1049.0,#2236695,BitKonan,Centralized,"$2,350.21",,NA,NA
263,264,44.0,80.0,United Kingdom,2018.0,,,#497943,Altmarkets,Centralized,$601.09,,42/BTC,64.69
267,268,16.0,32.0,United Kingdom,2018.0,,97.0,#1611616,Swiftex,Centralized,$153.66,,GENIX/BTC,152.89
275,276,,,Singapore,2018.0,,95.0,#1013599,Bytex,Centralized,$0.00, Trading Incentives,NA,NA
276,277,,,Hong Kong,2017.0,,,#5388272,ShangyaExchange,Centralized,$0.00,,NA,NA
277,278,2.0,2.0,South Korea,2018.0,,103.0,#4939368,KAiREX,Centralized,$0.00,,NA,NA
279,280,,,Australia,,,289.0,#1275557,9coin,Centralized,$0.00,,NA,NA
282,283,,,Estonia,2018.0,,29573.0,#2271183,AXNET,Centralized,$0.00,,NA,NA
297,298,,,Poland,2017.0,,,#730694,Coinroom,Centralized,$0.00,,NA,NA
302,303,,,Hong Kong,2018.0,,18277.0,#6309038,Dakuce,Centralized,$0.00,,NA,NA
304,305,,,Hong Kong,,,3544.0,#313977,BCEX,Centralized,$0.00,,NA,NA
309,310,,,Singapore,2018.0,,55.0,#5145126,Bitc3,Centralized,$0.00000000,,NA,NA
310,311,,,United Kingdom,2011.0,,80577.0,#1500342,BTCC,Centralized,$0.00000000,,NA,NA
